person_name,name,patronymic,family_name,person_id,section_id,income_year,position,department
Б В Железов,Б,В,Железов,176864,672621,2018,Заместитель директора Департамента,NULL
Д В Журавлев,Д,В,Журавлев,176788,672623,2018,Заместитель директора Департамента,NULL
Юрий Сергеевич Завидов,Юрий,Сергеевич,Завидов,361976,672625,2018,Заместитель директора Департамента,
Андрей Владимирович Зарубин,Андрей,Владимирович,Зарубин,19305,672628,2018,Директор Департамента,
А В Зленко,А,В,Зленко,177305,672632,2018,Заместитель директора Департамента,NULL
В В Иванов,В,В,Иванов,177346,672633,2018,Директор Департамента,NULL
Юрий Евгеньевич Казаков,Юрий,Евгеньевич,Казаков,40340,672638,2018,Заместитель директора Департамента,
И В Каракчиева,И,В,Каракчиева,179517,672639,2018,Заместитель директора Департамента,NULL
Н В Каширских,Н,В,Каширских,179518,672642,2018,Заместитель директора Департамента,NULL
М С Козлов,М,С,Козлов,178487,672644,2018,Заместитель директора Департамента,NULL
Дмитрий Викторович Куликов,Дмитрий,Викторович,Куликов,178262,672649,2018,Заместитель директора Департамента,NULL
Татьяна Алексеевна Красюкова,Татьяна,Алексеевна,Красюкова,399206,672651,2018,Заместитель директора Департамента,
Ольга Анатольевна Лесина,Ольга,Анатольевна,Лесина,19210,672710,2018,Заместитель директора Департамента,NULL
Е А Логинова,Е,А,Логинова,180131,672713,2018,Заместитель директора Департамента,NULL
Олег Игоревич Максименков,Олег,Игоревич,Максименков,399207,672716,2018,Заместитель директора Департамента,
О В Малева,О,В,Малева,181036,672718,2018,Заместитель директора Департамента,NULL
Наталья Александровна Маратканова,Наталья,Александровна,Маратканова,130349,672720,2018,Заместитель директора Департамента,NULL
Алексей Михайлович Медведев,Алексей,Михайлович,Медведев,5450,672722,2018,Директор Департамента,
Денис Вячеславович Мирошников,Денис,Вячеславович,Мирошников,128990,672723,2018,Заместитель директора Департамента,NULL
Г А Миусова,Г,А,Миусова,181037,672726,2018,Заместитель директора Департамента,NULL
Ф В Мицкевич,Ф,В,Мицкевич,181038,672727,2018,Заместитель директора Департамента,NULL
Андрей Владимирович Омельчук,Андрей,Владимирович,Омельчук,60990,672729,2018,Заместитель директора Департамента,NULL
С И Пахомов,С,И,Пахомов,386073,672731,2018,Директор Департамента,NULL
А В Пашковский,А,В,Пашковский,381274,672734,2018,Заместитель директора,NULL
А Ю Петров,А,Ю,Петров,378702,672737,2018,Директор Департамента,NULL
М П Петров,М,П,Петров,386075,672739,2018,Заместитель директора Департамента,NULL
Екатерина Сергеевна Пешкова,Екатерина,Сергеевна,Пешкова,849,672741,2018,Директор департамента,
И И Пивинская,И,И,Пивинская,388977,672742,2018,Заместитель директора Департамента,NULL
Сергей Сергеевич Позолотин,Сергей,Сергеевич,Позолотин,128989,672744,2018,Заместитель директора Департамента,
С В Полякова,С,В,Полякова,376804,672746,2018,Директор Департамента,NULL
Н И Пономарева,Н,И,Пономарева,379156,672747,2018,Заместитель директора Департамента,NULL
Тамара Александровна Почелова,Тамара,Александровна,Почелова,40361,672749,2018,Заместитель директора Департамента,NULL
П Р Прохорова,П,Р,Прохорова,386499,672751,2018,Заместитель директора Департамента,NULL
О И Резник,О,И,Резник,182230,672753,2018,Заместитель директора Департамента,NULL
А М Романов,А,М,Романов,181917,672755,2018,Заместитель директора Департамента,NULL
Михаил Юрьевич Романовский,Михаил,Юрьевич,Романовский,40321,672756,2018,Директор Департамента,NULL
М А Русакова,М,А,Русакова,182334,672758,2018,Заместитель директора Департамента,NULL
Вера Валентиновна Самородова,Вера,Валентиновна,Самородова,60981,672759,2018,Заместитель директора Департамента,NULL
Е И Сафронова,Е,И,Сафронова,183230,672760,2018,Директор Департамента,NULL
Юлия Евгеньевна Семашко,Юлия,Евгеньевна,Семашко,40342,672761,2018,Директор Департамента,NULL
Н В Сербина,Н,В,Сербина,183685,672762,2018,Заместитель директора Департамента,NULL
А А Сёмин,А,А,Сёмин,183686,672763,2018,Заместитель директора Департамента,NULL
В М Смирнов,В,М,Смирнов,182976,672764,2018,Заместитель директора Департамента,NULL
О В Смирнова,О,В,Смирнова,182805,672765,2018,Заместитель директора Департамента,NULL
Н В Титова,Н,В,Титова,184275,672766,2018,Заместитель Директора Департамента,NULL
А А Тихонов,А,А,Тихонов,183867,672767,2018,Заместитель Директора Департамента,NULL
О Г Ткаченкова,О,Г,Ткаченкова,184276,672768,2018,Заместитель директора Департамента,NULL
С Е Трешкин,С,Е,Трешкин,184277,672769,2018,Заместитель директора Департамента,NULL
О В Федорова,О,В,Федорова,184611,672770,2018,Заместитель директора Департамента,NULL
Марина Викторовна Филина,Марина,Викторовна,Филина,40329,672771,2018,Заместитель начальника управления,NULL
Е В Степанова,Е,В,Степанова,182713,672772,2018,Директор Департамента,NULL
Марианна Михайловна Харций,Марианна,Михайловна,Харций,40347,672773,2018,Начальник управления,NULL
И А Храброва,И,А,Храброва,184996,672774,2018,Директор Департамента,NULL
Дмитрий Игоревич Цыганов,Дмитрий,Игоревич,Цыганов,40323,672775,2018,Заместитель директора Департамента,NULL
Ольга Евгеньевна Чернышева,Ольга,Евгеньевна,Чернышева,40320,672776,2018,Заместитель директора Департамента,NULL
Ирина Николаевна Чугуева,Ирина,Николаевна,Чугуева,40324,672777,2018,Заместитель директора Департамента,NULL
Ольга Михайловна Шамшурина,Ольга,Михайловна,Шамшурина,40362,672778,2018,Заместитель директора Департамента,NULL
К А Швед,К,А,Швед,185426,672779,2018,Директор Департамента,NULL
Геннадий Васильевич Шепелев,Геннадий,Васильевич,Шепелев,128980,672780,2018,директор Департамента,NULL
А В Виланд,А,В,Виланд,174972,672781,2018,Врио руководителя территориального управления,NULL
Игорь Леонидович Манжуров,Игорь,Леонидович,Манжуров,128995,672782,2018,руководитель территориального управления,NULL
А А Колович,А,А,Колович,179521,672783,2018,руководитель территориального управления,NULL
Александр Витальевич Сандаков,Александр,Витальевич,Сандаков,128996,672784,2018,Заместитель руководителя территориального управления,NULL
САЛИХОВ НУРАЛИ НАЗАРОВИЧ,NULL,NULL,NULL,NULL,672834,2018,Межгосударственное образовательное учреждение высшего образования «Российско-Таджикский (Славянский) университет»,NULL
Владимир Александрович Любицкий,Владимир,Александрович,Любицкий,61187,672941,2018,"И.О. директора, Федеральное государственное унитарное предприятие \Академическая гостиница\""""",NULL
ИВАНОВ Г.Г.,NULL,NULL,NULL,NULL,672943,2018,"Федеральное государственное 
бюджетное учреждение
\Дирекция единого заказчика по строительству",капитальному
"и текущему ремонту\""""",NULL,,,,,,,
И В Краснов,И,В,Краснов,363773,672209,2019,"Генеральный директор \Внешнеэкономическое объединение \""Академинторг\""""",NULL
Марина Александровна Боровская,Марина,Александровна,Боровская,4733,672259,2019,Заместитель Министра,NULL
Наталья Александровна Бочарова,Наталья,Александровна,Бочарова,132293,672261,2019,Заместитель министра,NULL
С В Кузьмин,С,В,Кузьмин,177973,672264,2019,Заместитель министра,NULL
А М Медведев,А,М,Медведев,180627,672266,2019,Заместитель министра,NULL
М Б Лукашевич,М,Б,Лукашевич,180130,672268,2019,Статс-секретарь-заместитель министра,NULL
А В Аникеев,А,В,Аникеев,173240,672270,2019,Заместитель директора Департамента,NULL
Е Г Бабелюк,Е,Г,Бабелюк,174194,672271,2019,Директор Департамента,NULL
Вугар Алиевич Багиров,Вугар,Алиевич,Багиров,40327,672273,2019,Директор Департамента,NULL
Дмитрий Алексеевич Базин,Дмитрий,Алексеевич,Базин,399036,672275,2019,Заместитель директора Департамента,
М Р Бечвая,М,Р,Бечвая,174195,672278,2019,Заместитель директора Департамента,NULL
Бондарь А.С.,NULL,NULL,NULL,NULL,672279,2019,Заместитель директора Департамента,NULL
Тимур Леонидович Броницкий,Тимур,Леонидович,Броницкий,128981,672282,2019,Директор Департамента,NULL
Екатерина Евгеньевна Буртоликова,Екатерина,Евгеньевна,Буртоликова,40338,672284,2019,Заместитель директора Департамента,NULL
В Б Бучина,В,Б,Бучина,174196,672286,2019,Заместитель директора Департамента,NULL
И Н Ганьшин,И,Н,Ганьшин,175898,672289,2019,Директор Департамента,NULL
А Р Гатиятов,А,Р,Гатиятов,360085,672291,2019,Директор Департамента,NULL
Н М Гвоздева,Н,М,Гвоздева,358900,672294,2019,Заместитель директора Департамента,NULL
Марина А. Герцен,Марина,А.,Герцен,128982,672296,2019,Заместитель директора Департамента,NULL
